resume_text,role
"python machine learning deep learning tensorflow keras scikit-learn pandas numpy data analysis neural networks nlp natural language processing statistics regression classification clustering",Data Scientist
"machine learning python tensorflow keras pytorch deep learning computer vision nlp data preprocessing feature engineering model deployment scikit-learn matplotlib seaborn",Data Scientist
"data science python statistics hypothesis testing a/b testing regression classification random forest xgboost gradient boosting pandas numpy jupyter notebook",Data Scientist
"python deep learning neural networks cnn rnn lstm transformer bert gpt nlp text classification image recognition tensorflow pytorch",Data Scientist
"machine learning algorithms supervised unsupervised learning model evaluation cross validation hyperparameter tuning python scikit-learn feature selection dimensionality reduction",Data Scientist
"html css javascript react nodejs frontend web development responsive design bootstrap jquery ajax rest api json",Web Developer
"html5 css3 javascript typescript react angular vuejs frontend ui ux design webpack npm nodejs responsive mobile-first",Web Developer
"react javascript html css nodejs express mongodb restful api frontend backend web design tailwind css git github",Web Developer
"javascript typescript react redux html css sass web development spa single page application webpack babel eslint testing jest",Web Developer
"html css javascript jquery bootstrap php wordpress frontend web design ui ux figma adobe xd responsive layout",Web Developer
"python django flask rest api backend sql postgresql mysql mongodb redis celery microservices docker kubernetes api development",Backend Developer
"java spring boot hibernate rest api mysql postgresql backend development microservices docker kubernetes aws maven gradle junit",Backend Developer
"nodejs express rest api mongodb postgresql backend javascript typescript authentication jwt oauth docker aws deployment serverless",Backend Developer
"python fastapi django rest framework postgresql redis celery docker kubernetes backend api authentication authorization database",Backend Developer
"java python backend development sql nosql mongodb redis rabbitmq kafka microservices api design docker linux server",Backend Developer
"python tensorflow keras pytorch deep learning neural networks computer vision nlp reinforcement learning ai research model optimization",AI Engineer
"artificial intelligence machine learning deep learning nlp computer vision reinforcement learning python tensorflow pytorch model deployment mlops",AI Engineer
"ai ml deep learning python tensorflow pytorch transformers bert gpt model training fine-tuning nlp computer vision deployment",AI Engineer
"machine learning engineer python tensorflow keras scikit-learn model deployment mlops docker kubernetes aws sagemaker feature engineering",AI Engineer
"deep learning research neural architecture search computer vision nlp pytorch tensorflow python cuda gpu optimization model compression",AI Engineer
"sql excel power bi tableau data analysis reporting dashboards business intelligence data visualization excel pivot tables vlookup",Data Analyst
"data analysis sql excel tableau power bi python pandas matplotlib seaborn reporting dashboards kpi metrics business insights",Data Analyst
"business intelligence sql server ssrs ssis excel power bi data warehousing etl data modeling reporting analytics",Data Analyst
"sql python excel data analysis statistics reporting visualization tableau power bi google analytics data cleaning transformation",Data Analyst
"data analyst sql excel power bi tableau python statistics data visualization reporting dashboards business insights forecasting",Data Analyst
"python tensorflow deep learning neural networks nlp text classification sentiment analysis bert transformers model deployment",AI Engineer
"react native ios android mobile development javascript typescript redux api integration firebase push notifications app store",Web Developer
"python pandas numpy scikit-learn data wrangling feature engineering exploratory data analysis visualization machine learning",Data Scientist
"nodejs express mongodb rest api authentication jwt backend javascript docker deployment aws heroku",Backend Developer
"sql data warehousing etl python excel visualization reporting analytics business intelligence mysql postgresql",Data Analyst
"html css javascript react frontend development git agile scrum responsive design cross-browser testing",Web Developer
"java spring microservices rest api postgresql docker kubernetes backend enterprise development",Backend Developer
"machine learning python statistics probability linear algebra deep learning model building evaluation deployment",Data Scientist
"power bi tableau sql excel data analytics reporting dashboards kpi tracking business analysis",Data Analyst
"tensorflow pytorch nlp computer vision ai research python deep learning model optimization gpu",AI Engineer
"python flask django api backend postgresql redis celery deployment docker linux",Backend Developer
"javascript react redux hooks context api frontend state management testing jest cypress",Web Developer
"data analysis python r statistics excel sql visualization matplotlib seaborn plotly",Data Analyst
"deep learning cnn rnn object detection image segmentation pytorch tensorflow python",AI Engineer
"node express postgres rest api jwt oauth microservices kafka backend javascript",Backend Developer
"html css sass javascript responsive design figma ui components accessibility seo",Web Developer
"python machine learning feature engineering cross validation model selection hyperparameter optimization",Data Scientist
"sql python power bi tableau data storytelling dashboards reporting business metrics analytics",Data Analyst
"ai nlp transformers bert gpt language models fine-tuning python pytorch hugging face",AI Engineer
"react vuejs angular spa routing api calls state management frontend javascript typescript",Web Developer
"django rest framework postgresql redis celery docker aws backend python api",Backend Developer
"deep learning neural network architecture hyperparameter tuning regularization dropout batch normalization",Data Scientist
"data pipeline etl sql python airflow spark hadoop data engineering analytics reporting",Data Analyst
"python scikit-learn tensorflow model training evaluation metrics deployment mlops pipeline",AI Engineer
"spring boot java rest api mysql docker ci cd jenkins backend microservice",Backend Developer
